CustomerID,CustomerName,Age,State,ZipCode,TransactionDate,TransactionAmount,TransactionsLast24H,FailedLogins,Channel,DeviceStatus,FraudLabel
C1027,Priya Johnson,31.0,Georgia,31401,2025-01-15,55.79,1,4,Online,New,1
C1028,Maria Walker,49.0,Illinois,60601,2025-01-18,204.25,1,4,Online,New,1
C1029,Rachel Brown,62.0,Georgia,30303,2025-01-11,,2,4,Mobile,Trusted,0
C1030,Hannah Walker,55.0,Illinois,60601,2025-04-12,115.82,5,1,ATM,Trusted,0
C1031,Olivia Harris,39.0,Tennessee,38103,2025-02-24,88.99,8,4,Online,Trusted,0
C1032,Robert Moore,44.0,Tennessee,38103,2025-05-20,716.54,6,2,Mobile,Trusted,0
C1033,Rachel Lewis,19.0,Texas,75201,2025-01-28,146.72,11,0,Mobile,Trusted,0
C1034,Robert Anderson,44.0,California,94105,2025-03-09,60.4,12,2,Mobile,New,0
C1035,James Garcia,24.0,Texas,75201,2025-02-03,298.62,14,2,Online,Trusted,0
C1002,Maria Garcia,66.0,New York,11201,2025-06-26,52.58,12,3,Online,Trusted,0
C1037,Grace Walker,54.0,Tennessee,37902,2025-01-11,177.25,3,0,ATM,Trusted,0
C1038,Michael Martinez,61.0,Tennessee,38103,2025-02-09,28.06,13,4,Branch,Unknown,1
C1039,Sophia Davis,70.0,Tennessee,37902,2025-04-16,47.99,1,1,ATM,New,0
C1040,Sophia Anderson,29.0,Florida,,2025-04-28,175.45,7,0,Branch,Trusted,0
C1041,Sophia Martinez,20.0,Texas,75201,2025-03-13,278.02,7,2,ATM,New,0
C1042,Marcus Jackson,62.0,Illinois,60601,2025-03-09,171.69,1,0,ATM,Trusted,1
C1043,Rachel White,41.0,Florida,33130,2025-05-28,134.52,7,4,Online,Trusted,0
C1044,Maria White,19.0,Illinois,60601,2025-03-26,114.9,6,3,Online,Unknown,1
C1045,Rachel Thomas,61.0,Tennessee,ABCDE,2025-06-28,42.24,9,2,Branch,Trusted,0
C1046,Robert Wilson,45.0,Texas,75201,2025-03-19,80.49,11,5,Mobile,Trusted,0
C1047,John Taylor,37.0,Georgia,30303,2025-04-24,100.33,13,4,ATM,Trusted,0
C1048,Marcus Clark,69.0,,33130,2025-06-12,364.51,11,0,ATM,Trusted,0
C1049,David Martinez,62.0,Georgia,31401,2025-03-04,198.76,13,1,Mobile,Trusted,0
C1050,Rachel Brown,48.0,New York,10001,2025-03-04,33.16,10,1,Branch,Trusted,0
C1051,John Patel,68.0,New York,10001,2025-03-05,195.48,3,5,Branch,Trusted,0
C1052,Aisha Harris,27.0,New York,11201,2025-04-24,106.98,9,4,ATM,Unknown,0
C1053,Marcus White,72.0,Illinois,60601,2025-03-05,0.0,3,5,Branch,Trusted,0
C1054,James Lewis,50.0,Texas,75201,2025-03-02,249.62,5,3,Online,New,1
C1055,James Thomas,39.0,Illinois,60601,2025-02-09,356.51,3,1,Mobile,Trusted,0
C1056,David White,45.0,North Carolina,28202,2025-04-18,327.53,8,3,Online,Trusted,0
C1057,Ethan Smith,44.0,California,94105,2025-04-10,72.72,8,0,ATM,Trusted,0
C1058,Hannah Lee,66.0,Florida,33130,2025-01-08,114.11,8,1,ATM,Trusted,0
C1059,Carlos Davis,72.0,New York,11201,2025-06-01,196.68,10,4,Online,Unknown,1
C1060,Ethan Smith,24.0,Texas,75201,2025-04-08,340.09,3,3,Mobile,Trusted,0
C1061,Kevin Thomas,40.0,New York,10001,,98.76,13,3,ATM,New,1
C1062,John Lee,22.0,North Carolina,28202,2025-03-05,126.75,11,0,Online,New,1
C1063,John Young,28.0,Georgia,30303,2025-02-25,57.95,8,5,Online,Trusted,0
C1064,James Moore,29.0,California,94105,2025-01-07,53.69,13,1,ATM,Trusted,0
C1065,Ethan Jackson,44.0,Florida,33130,2025-03-19,296.09,2,4,Mobile,Trusted,0
C1066,Rachel Patel,44.0,California,94105,2025-01-18,470.03,6,4,Branch,New,1
C1067,Daniel Smith,73.0,New York,10001,2025-04-28,139.6,2,3,ATM,New,0
C1068,Marcus Anderson,58.0,Illinois,60601,2025-03-04,348.28,8,3,ATM,Trusted,0
C1069,David Anderson,75.0,New York,11201,2025-05-07,201.82,13,3,Branch,Trusted,0
C1070,Emily Clark,32.0,North Carolina,28202,2025-05-13,85.77,6,2,ATM,Trusted,0
C1071,David Martinez,65.0,New York,10001,2025-05-06,201.78,9,1,Branch,New,0
C1072,John Brown,37.0,Georgia,30303,2025-04-05,548.58,12,1,ATM,New,1
