CustomerID,CustomerName,Age,State,ZipCode,TransactionDate,TransactionAmount,TransactionsLast24H,FailedLogins,Channel,DeviceStatus,FraudLabel
C1021,James Clark,32.0,Illinois,60601,May 2 2025,515.84,12,4,Branch,Trusted,1
C1022,Hannah Wilson,25.0,tennessee,38103,,122.5,6,3,Branch,Trusted,0
C1001,John Smith,44.0,FL,33130,2025-05-18,157.18,13,0,Mobile,Trusted,0
C1024,Hannah Davis,36.0,New York,11201,May 21 2025,44.21,14,0,Branch,New,0
C1025,Linda Smith,24.0,Georgia,30303,04/13/25,93.44,7,3,Branch,Trusted,0
C1026,Emily Jackson,19.0,,10001,2025-05-23,163.09,13,3,ATM,Trusted,0
C1027,Priya Johnson,31.0,Georgia,31401,Jan 15 2025,55.79,1,4,Online,New,1
C1028,Maria Walker,49.0,Illinois,60601,01/18/25,204.25,1,4,Online,New,1
C1029,Rachel Brown,62.0,GA,30303,2025-01-11,,2,4,Mobile,Trusted,0
C1030,Hannah Walker,55.0,IL,60601,Apr 12 2025,115.82,5,1,ATM,Trusted,0
C1031,Olivia Harris,39.0,Tennessee,38103,02/24/25,88.99,8,4,Online,Trusted,0
C1032,Robert Moore,,TN,38103,2025-05-20,716.54,6,2,Mobile,Trusted,0
C1033,Rachel Lewis,19.0,TX,75201,Jan 28 2025,146.72,11,0,Mobile,Trusted,0
C1034,Robert Anderson,-4.0,California,94105,03/09/25,60.4,12,2,Mobile,New,0
C1035,James Garcia,24.0,TX,75201,2025-02-03,298.62,14,2,Online,Trusted,0
C1002,Maria Garcia,66.0,new york,11201,Jun 26 2025,52.58,12,3,Online,Trusted,0
C1037,Grace Walker,54.0,tennessee,37902,01/11/25,177.25,3,0,ATM,Trusted,0
C1038,Michael Martinez,61.0,Tennesee,38103,2025-02-09,28.06,13,4,Branch,Unknown,1
C1039,Sophia Davis,70.0,tennessee,37902,Apr 16 2025,47.99,1,1,ATM,New,0
C1040,Sophia Anderson,29.0,Florida,,04/28/25,175.45,7,0,Branch,Trusted,0
C1041,Sophia Martinez,20.0,Texas,75201,2025-03-13,278.02,7,2,ATM,New,0
C1042,Marcus Jackson,62.0,IL,60601,Mar 9 2025,171.69,1,0,ATM,Trusted,1
C1043,Rachel White,41.0,FL,33130,05/28/25,134.52,7,4,Online,Trusted,0
C1044,Maria White,19.0,Illinois,60601,2025-03-26,114.9,6,3,Online,Unknown,1
C1045,Rachel Thomas,61.0,Tennesee,ABCDE,Jun 28 2025,42.24,9,2,Branch,Trusted,0
C1046,Robert Wilson,45.0,TX,75201,03/19/25,80.49,11,5,Mobile,Trusted,0
C1047,John Taylor,37.0,GA,30303,2025-04-24,100.33,13,4,ATM,Trusted,0
C1048,Marcus Clark,69.0,,33130,Jun 12 2025,364.51,11,0,ATM,Trusted,0
C1049,David Martinez,62.0,Georgia,31401,03/04/25,198.76,13,1,Mobile,Trusted,0
C1050,Rachel Brown,48.0,new york,10001,2025-03-04,33.16,10,1,Branch,Trusted,0
C1051,John Patel,68.0,New York,10001,Mar 5 2025,195.48,3,5,Branch,Trusted,0
C1052,Aisha Harris,27.0,new york,11201,04/24/25,106.98,9,4,ATM,Unknown,0
C1053,Marcus White,72.0,IL,60601,2025-03-05,0.0,3,5,Branch,Trusted,0
C1054,James Lewis,50.0,Texas,75201,Mar 2 2025,249.62,5,3,Online,New,1
C1055,James Thomas,39.0,Illinois,60601,02/09/25,356.51,3,1,Mobile,Trusted,0
C1056,David White,45.0,N. Carolina,28202,2025-04-18,327.53,8,3,Online,Trusted,0
C1057,Ethan Smith,,CA,94105,Apr 10 2025,72.72,8,0,ATM,Trusted,0
C1058,Hannah Lee,66.0,Florida,33130,01/08/25,114.11,8,1,ATM,Trusted,0
C1059,Carlos Davis,72.0,New York,11201,2025-06-01,196.68,10,4,Online,Unknown,1
C1060,Ethan Smith,24.0,TX,75201,Apr 8 2025,340.09,3,3,Mobile,Trusted,0
C1061,Kevin Thomas,40.0,NY,10001,,98.76,13,3,ATM,New,1
C1062,John Lee,22.0,North Carolina,28202,2025-03-05,126.75,11,0,Online,New,1
C1063,John Young,28.0,Georgia,30303,Feb 25 2025,57.95,8,5,Online,Trusted,0
C1064,James Moore,29.0,California,94105,01/07/25,53.69,13,1,ATM,Trusted,0
C1065,Ethan Jackson,44.0,Florida,33130,2025-03-19,296.09,2,4,Mobile,Trusted,0
C1066,Rachel Patel,0.0,California,94105,Jan 18 2025,470.03,6,4,Branch,New,1
C1067,Daniel Smith,73.0,NY,10001,04/28/25,139.6,2,3,ATM,New,0
C1068,Marcus Anderson,58.0,IL,60601,2025-03-04,348.28,8,3,ATM,Trusted,0
C1069,David Anderson,75.0,New York,11201,May 7 2025,201.82,13,3,Branch,Trusted,0
C1070,Emily Clark,32.0,NC,28202,05/13/25,85.77,6,2,ATM,Trusted,0
C1071,David Martinez,65.0,NY,10001,2025-05-06,201.78,9,1,Branch,New,0
C1072,John Brown,37.0,GA,30303,Apr 5 2025,548.58,12,1,ATM,New,1
C1001,John Smith,66.0,Georgia,31401,05/20/25,226.38,4,1,Online,New,0
C1008,Linda Martinez,29.0,NY,11201,2025-01-15,284.95,5,5,Mobile,New,1
C1019,Marcus Harris,26.0,Georgia,30303,02/28/25,68.59,2,2,Online,Trusted,0
C1037,Grace Walker,54.0,tennessee,37902,01/11/25,177.25,3,0,ATM,Trusted,0
C1056,David White,45.0,N. Carolina,28202,2025-04-18,327.53,8,3,Online,Trusted,0
